[ko-KR]
aberdeen;애버딘
amsterdam;암스테르담
berlin;베를린
bern;베른
birmingham;버밍엄
bratislava;브라티슬라바
bremen;브레멘
brno;브르노
brussel;브뤼셀
calais;칼레
cambridge;케임브리지
cardiff;카디프
carlisle;칼라일
dijon;디종
dortmund;도르트문트
dover;도버
dresden;드레스덴
duisburg;뒤스부르크
dusseldorf;뒤셀도르프
edinburgh;에든버러
erfurt;에르푸르트
felixstowe;펠릭스토우
frankfurt;프랑크푸르트 암 마인
geneve;제네바
glasgow;글래스고
graz;그라츠
grimsby;그림즈비
groningen;흐로닝언
hamburg;함부르크
hannover;하노버
innsbruck;인스브루크
kassel;카셀
kiel;킬
klagenfurt;클라겐푸르트 암 뵈르테제
koln;쾰른
leipzig;라이프치히
liege;리에주
lille;릴
linz;린츠
liverpool;리버풀
london;런던
luxembourg;룩셈부르크
lyon;리옹
magdeburg;마그데부르크
manchester;맨체스터
mannheim;만하임
metz;메스
milano;밀라노
munchen;뮌헨
newcastle;뉴캐슬 어폰 타인
nurnberg;뉘른베르크
osnabruck;오스나브뤼크
paris;파리
plymouth;플리머스
poznan;포즈난
prague;프라하
reims;랭스
rostock;로스토크
rotterdam;로테르담
salzburg;잘츠부르크
sheffield;셰필드
southampton;사우샘프턴
strasbourg;스트라스부르
stuttgart;슈투트가르트
swansea;스완지
szczecin;슈체친
torino;토리노
travemunde;트라베뮌데
venezia;베네치아
verona;베로나
wien;비엔나
wroclaw;브로츠와프
zurich;취리히
bialystok;비아위스토크
budapest;부다페스트
bystrica;반스카 비스트리차
debrecen;데브레첸
gdansk;그단스크
katowice;카토비체
kosice;코시체
krakow;크라쿠프
lodz;우치
lublin;루블린
olsztyn;올슈틴
ostrava;오스트라바
pecs;페치
szeged;세게드
warszawa;바르샤바
aalborg;올보르
bergen;베르겐
esbjerg;에스비에르
frederikshv;프레데릭스하운
gedser;게세르
goteborg;예테보리
helsingborg;헬싱보리
hirtshals;히르트스할스
jonkoping;옌셰핑
kalmar;칼마르
kapellskar;카펠스카
karlskrona;칼스크로나
kobenhavn;코펜하겐
kristiansand;크리스티안산
linkoping;린셰핑
malmo;말뫼
nynashamn;뉘네스함
odense;오덴세
orebro;외레브로
oslo;오슬로
sodertalje;쇠데르텔리에
stavanger;스타방에르
stockholm;스톡홀름
trelleborg;트렐레보리
uppsala;웁살라
vasteraas;베스테로스
vaxjo;벡셰
alban;생 알방 듀 혼느
bordeaux;보르도
bourges;부르주
brest;브레스트
civaux;시보
clermont;클레르몽
golfech;골페슈
larochelle;라로셀
laurent;생로랑
lehavre;르아브르
lemans;르망
limoges;리모주
marseille;마르세유
montpellier;몽펠리에
nantes;낭트
nice;니스
paluel;팔루엘
rennes;렌
roscoff;로스코프
toulouse;툴루즈
ancona;안코나
bari;바리
bologna;볼로냐
cagliari;칼리아리
cassino;카시노
catania;카타니아
catanzaro;카탄차로
firenze;피렌체
genova;제노바
livorno;리보르노
messina;메시나
napoli;나폴리
olbia;올비아
palermo;팔레르모
parma;파르마
pescara;페스카라
roma;로마
sassari;사사리
suzzara;수자라
taranto;타란토
terni;테르니
daugavpils;다우가프필스
helsinki;헬싱키
kaliningrad;칼리닌그라드
kaunas;카우나스
klaipeda;클라이페다
kotka;코트카
kouvola;코우볼라
kunda;쿤다
lahti;라티
liepaja;리예파야
loviisa;로비사
luga;루가
mazeikiai;마제이카이아이
naantali;난탈리
narva;나르바
olkiluoto;올킬루오토
paldiski;팔디스키
panevezys;파네베지스
parnu;패르누
petersburg;상트페테르부르크
pori;포리
pskov;프스코프
rezekne;레제크네
riga;리가
siauliai;샤울라이
sosnovy_bor;소스노비보르
tallinn;탈린
tampere;탐페레
tartu;타르투
turku;투르쿠
utena;우테나
valmiera;발미에라
ventspils;벤츠필스
vilnius;빌뉴스
vyborg;비보르크
